内蒙古能源职业学院,内蒙古自治区教育厅,呼和浩特市,专科
乌兰察布职业学院,内蒙古自治区,乌兰察布市,专科
内蒙古电子信息职业技术学院,内蒙古自治区,呼和浩特市,专科
通辽职业学院,内蒙古自治区,通辽市,专科
内蒙古化工职业学院,内蒙古自治区,呼和浩特市,专科
内蒙古商贸职业学院,内蒙古自治区,呼和浩特市,专科
包头铁道职业技术学院,内蒙古自治区,包头市,专科
包头钢铁职业技术学院,内蒙古自治区,包头市,专科
内蒙古美术职业学院,内蒙古自治区教育厅,巴彦淖尔市,专科
科尔沁艺术职业学院,内蒙古自治区,科尔沁市,专科
包头轻工职业技术学院,内蒙古自治区,包头市,专科
锡林郭勒职业学院,内蒙古自治区,锡林郭勒盟,专科
兴安职业技术学院,内蒙古自治区,乌兰浩特市,专科
内蒙古警察职业学院,内蒙古自治区,呼和浩特市,专科
内蒙古体育职业学院,内蒙古自治区,呼和浩特市,专科
内蒙古经贸外语职业学院,内蒙古自治区教育厅,呼和浩特市,专科
赤峰职业技术学院,内蒙古自治区教育厅,赤峰市,专科
内蒙古北方职业技术学院,内蒙古自治区教育厅,呼和浩特市,专科
鄂尔多斯职业学院,内蒙古自治区,鄂尔多斯市,专科
内蒙古科技职业学院,内蒙古自治区教育厅,呼和浩特市,专科
内蒙古丰州职业学院,内蒙古自治区教育厅,呼和浩特市,专科
呼伦贝尔职业技术学院,内蒙古自治区,呼伦贝尔市,专科
内蒙古工业职业学院,内蒙古自治区教育厅,呼和浩特市,专科
大连理工大学,教育部,大连市,本科
东北大学,教育部,沈阳市,本科
大连海事大学,交通运输部,大连市,本科
辽宁大学,辽宁省,沈阳市,本科
大连大学,辽宁省,大连市,本科
沈阳大学,辽宁省,沈阳市,本科
沈阳理工大学,辽宁省,沈阳市,本科
辽宁工程技术大学,辽宁省,阜新市,本科
沈阳工业大学,辽宁省,沈阳市,本科
沈阳建筑大学,辽宁省,沈阳市,本科
辽宁石油化工大学,辽宁省,抚顺市,本科
大连交通大学,辽宁省,大连市,本科
沈阳化工大学,辽宁省,沈阳市,本科
辽宁科技大学,辽宁省,鞍山市,本科
大连工业大学,辽宁省,大连市,本科
辽宁工业大学,辽宁省,锦州市,本科
沈阳航空航天大学,辽宁省,沈阳市,本科
沈阳农业大学,辽宁省,沈阳市,本科
大连海洋大学,辽宁省,大连市,本科
中国医科大学,辽宁省,沈阳市,本科
大连医科大学,辽宁省,大连市,本科
辽宁中医药大学,辽宁省,沈阳市,本科
沈阳药科大学,辽宁省,沈阳市,本科
辽宁师范大学,辽宁省,大连市,本科
沈阳师范大学,辽宁省,沈阳市,本科
渤海大学,辽宁省,锦州市,本科
东北财经大学,辽宁省,大连市,本科
大连民族学院,国家民委,大连市,本科
中国刑事警察学院,公安部,沈阳市,本科
沈阳工程学院,辽宁省,沈阳市,本科
辽宁科技学院,辽宁省,本溪市,本科
大连东软信息学院,辽宁省教育厅,大连市,本科
大连科技学院,辽宁省教育厅,大连市,本科
辽宁医学院,辽宁省,锦州市,本科
沈阳医学院,辽宁省,沈阳市,本科
辽宁何氏医学院,辽宁省教育厅,沈阳市,本科
鞍山师范学院,辽宁省,鞍山市,本科
大连外国语学院,辽宁省,大连市,本科
辽宁财贸学院,辽宁省教育厅,葫芦岛市,本科
沈阳体育学院,辽宁省,沈阳市,本科
鲁迅美术学院,辽宁省,沈阳市,本科
沈阳音乐学院,辽宁省,沈阳市,本科
大连艺术学院,辽宁省教育厅,大连市,本科
辽东学院,辽宁省,丹东市,本科
辽宁对外经贸学院,辽宁省教育厅,大连市,本科
辽宁交通高等专科学校,辽宁省,沈阳市,专科
朝阳师范高等专科学校,辽宁省,朝阳市,专科
抚顺师范高等专科学校,辽宁省,抚顺市,专科
铁岭师范高等专科学校,辽宁省,铁岭市,专科
锦州师范高等专科学校,辽宁省,锦州市,专科
